NO,체험프로그램명,체험처명,체험처유형,체험프로그램 직업유형,체험유형,초등학교대상여부,중학교대상여부,고등학교대상여부,위도,경도,체험인원,유무료구분,유료금액,체험시간,대면비대면구분,안전도,교육기부인증기관여부,체험지역명,체험진행장소
691,"[방사선학과] 보이지 않는 세계를 보는 눈, 방사선학과",극동대학교,학교/대학교,방사선과학,학과체험형,,Y,Y,37.1282549251378,127.641870971257,100,무료,,2.0,79001,,62002.0,충북 음성군,체험처
690,[서울경기] 로봇공학자-축구로봇,조이에듀,개인사업장,로봇공학 기술자 및 연구원,직업실무체험형,Y,Y,,37.6389511878959,127.124442243793,1000,유료,28000.0,2.0,79001,,,경기 구리시,학교
689,나무이야기 찾아가는 목공체험-곰돌이 연필꽂이 만들기,대전나무이야기,민간기업,목재 가공기계 조작원,직업실무체험형,Y,Y,Y,36.362311238100034,127.43516848235026,20,유료,25000.0,2.0,79001,,,대전 대덕구,학교
688,생활목공 체험교실 - 원목 트레이 만들기,(유)사각사각,개인사업장,공예원,직업실무체험형,Y,Y,Y,35.9442573002663,126.949596296943,40,유료,20000.0,2.0,79001,,,전북 익산시,학교
687,나무이야기 찾아가는 목공체험교실-간식트레이 만들기,대전나무이야기,민간기업,제품 디자이너,직업실무체험형,Y,Y,Y,36.3623265966611,127.435182606822,20,유료,25000.0,2.0,79001,,,대전 대덕구,학교
686,인쇄 직업 진로체험 - 옛날 인쇄기로 책갈피 만들기(인쇄공),출판도시활판인쇄박물관,민간기업,기타,직업실무체험형,Y,,,37.7085496415678,126.686833634678,20,유료,10000.0,1.0,79001,,62001.0,경기 파주시,체험처
685,생활목공 체험교실 - 미니 책꽂이 만들기,(유)사각사각,개인사업장,공예원,직업실무체험형,Y,Y,Y,35.9442573002663,126.949596296943,40,유료,35000.0,2.0,79001,,,전북 익산시,체험처
684,"[환경교육] 나무의 새로운 시작, 업사이클링 목공",(유)사각사각,개인사업장,공예원,직업실무체험형,Y,Y,Y,35.9442573002663,126.949596296943,40,유료,20000.0,2.0,79001,,,전북 익산시,학교
683,3D펜 책갈피 만들기,헤리티지공예,개인사업장,기타 시각 및 공연 예술가,현장직업체험형,Y,Y,,37.5509646154242,126.849533759514,15,유료,15000.0,2.0,79001,,,서울 강서구,체험처
682,3D펜 북클립 만들기,헤리티지공예,개인사업장,기타 시각 및 공연 예술가,현장직업체험형,Y,Y,,37.5509646154242,126.849533759514,15,유료,15000.0,2.0,79001,,,서울 강서구,체험처
